year,hydro,nuclear,biofuels,biomass,other,coal,gas,oil,geoth.,wind,PV,CSP
1950,0.021839387832401323,2.6277451078809578e-05,1.3623782822560987e-05,0.14532459611599874,5.985185085205585e-05,0.48540281265738,0.07797055407038983,0.2693628962390768,0.0,0.0,0.0,0.0
1951,0.021906505690034207,3.243180501771232e-05,1.4915378999373963e-05,0.142636785405005,6.335987972758585e-05,0.4785155954715122,0.081538475419049,0.27529193095065513,0.0,0.0,0.0,0.0
1952,0.021959110562336407,4.0033664280900294e-05,1.6318707727405104e-05,0.1398241665112411,6.70749761265524e-05,0.4715155195606519,0.08525205985529806,0.2813257161623377,0.0,0.0,0.0,0.0
1953,0.021995227064607076,4.932585488107574e-05,1.784767573559534e-05,0.13692733059016313,7.093886305034098e-05,0.4643520540641492,0.08910632846952792,0.2874809474178856,0.0,0.0,0.0,0.0
1954,0.022013038159082104,6.077779872079928e-05,1.947495873245385e-05,0.13397392433341435,7.496773147753146e-05,0.45698196998908863,0.09309377782670247,0.2937820692027817,0.0,0.0,0.0,0.0
1955,0.022010713351677768,7.478749191540606e-05,2.124368087415765e-05,0.13098029608614908,7.91683491824173e-05,0.44936838121135153,0.0972036431765332,0.3002617666523165,0.0,0.0,0.0,0.0
1956,0.021986615818475826,9.197913271384482e-05,2.3186614884338827e-05,0.12795298221569956,8.350517561942458e-05,0.44148001997718705,0.10142098919103402,0.30696072187438594,0.0,0.0,0.0,0.0
1957,0.02193909653130843,0.00011294669747310225,2.5230731683544076e-05,0.12489049094974614,8.797179069889703e-05,0.4332910646626878,0.10572616731946789,0.31392703131693417,0.0,0.0,0.0,0.0
1958,0.02186664369201016,0.00013857048956194672,2.7432425684380087e-05,0.1217858558107006,9.25844366847828e-05,0.4247809776457266,0.11009358039294319,0.32121435510668844,0.0,0.0,0.0,0.0
1959,0.021767866050981816,0.0001697787451239846,2.9804235650321838e-05,0.11862964106185174,9.731756316470509e-05,0.4159349721934972,0.11449121461599718,0.3288794055337331,0.0,0.0,0.0,0.0
1960,0.021641631774601277,0.00020774606507842607,3.235022843818829e-05,0.1154149341795877,0.000102167445733051,0.4067446507555176,0.11887979183564673,0.33697672771539694,0.0,0.0,0.0,0.0
1961,0.02148704824014477,0.0002538677092167258,3.504014389819094e-05,0.11214211386361425,0.00010712043990793989,0.3972098178749854,0.12321282599400542,0.34555216573422726,0.0,0.0,0.0,0.0
1962,0.02130381701801166,0.0003097988948525077,3.791849073739908e-05,0.10882225878900073,0.00011213003121608636,0.3873421576154577,0.1274374440143516,0.35463447514637214,0.0,0.0,0.0,0.0
1963,0.02109259560702508,0.0003775398887317725,4.096658037678094e-05,0.10547809895453335,0.00011724751246986716,0.37717085134085476,0.131496829232573,0.36422587088343533,0.0,0.0,0.0,0.0
1964,0.020855507893458965,0.00045943983212574186,4.4209555403290954e-05,0.1021406142838573,0.00012239645982177333,0.36675058758330475,0.1353348094935237,0.3742924348985046,0.0,0.0,0.0,0.0
1965,0.020095617387252903,0.0005587469174357847,4.766736826325784e-05,0.09889032152304057,0.000127715447630885,0.3563531227385084,0.138973722214568,0.3849530864033002,0.0,0.0,0.0,0.0
1966,0.020502235336458174,0.0007140586038808895,5.161519217399079e-05,0.09622354934215128,0.0001338548447086559,0.3435993445244316,0.14408762922536061,0.39468771293083477,0.0,0.0,0.0,0.0
1967,0.020264841007482066,0.0008463949623290386,5.6617461534860484e-05,0.09485904828332709,0.0001420649194178546,0.32654916872675166,0.1491009221288366,0.4081809425103208,0.0,0.0,0.0,0.0
1968,0.02019070645231177,0.0009814947887662902,6.105446676781021e-05,0.09191895520871941,0.00014821261954541648,0.3144093849828881,0.15351296157409944,0.41877722990690175,0.0,0.0,0.0,0.0
1969,0.02013886614019284,0.001125829858252972,6.528340942955e-05,0.08834774245940354,0.00015336675855836396,0.30264724135684823,0.15909661803103411,0.42842505198628045,0.0,0.0,0.0,0.0
1970,0.01986711766421672,0.0013094466031373742,7.012684949616372e-05,0.08526918549349317,0.00015940691482912078,0.29078136246798814,0.16361825144653347,0.43890430667255353,2.0795887752062075e-05,0.0,0.0,0.0
1971,0.01998640528662018,0.0017970500514520205,7.686796131770183e-05,0.08396416181640559,0.0001690801011382357,0.27876698887752954,0.16848963623299468,0.44671515045784066,3.46592147012852e-05,0.0,0.0,0.0
1972,0.019953833808726368,0.002351256670539181,8.330647515322803e-05,0.08171788427430496,0.00017729126907141884,0.2695580228274395,0.16879592602653132,0.45733005397227605,3.242467595784325e-05,0.0,0.0,0.0
1973,0.019092867320003492,0.0029934979801302165,8.970106878727422e-05,0.07899169793041713,0.00018472125876766633,0.262541346378616,0.16814672937654448,0.4679246427689289,3.479591780497954e-05,0.0,0.0,0.0
1974,0.02093157245499203,0.003889885173003856,0.00010186046605062748,0.08050205747506338,0.00020299715558784418,0.2620501108589283,0.17138044092347027,0.4608965706228034,4.45048701001364e-05,0.0,0.0,0.0
1975,0.02110740894377332,0.005359209969430851,0.00011523316380447188,0.0816856479006699,0.00022221437395891712,0.26666067603269783,0.1701007860669837,0.4546955756481229,5.324790055810419e-05,0.0,0.0,0.0
1976,0.020136784740526183,0.006069765262512352,0.0001246505041461629,0.07921295839750209,0.00023257823279226755,0.26381964074856357,0.1710141471179312,0.4593363934892045,5.3081506821792964e-05,0.0,0.0,0.0
1977,0.01999348906155709,0.0072481598937697254,0.00013684584353625576,0.07793376203666465,0.00024708051710294884,0.2633301691849122,0.17065419798447862,0.46040814902244354,4.81464555349616e-05,0.0,0.0,0.0
1978,0.02075967684552834,0.008093012722457731,0.00015008087851487304,0.07656593050641204,0.0002621776795578032,0.25770112471023265,0.1712532712431082,0.4651845681211699,3.0118093764302836e-05,3.9199254357010194e-08,0.0,0.0
1979,0.021092219302940925,0.008107247454855384,0.00016536764098472225,0.0755768013938941,0.0002795458351624784,0.2597243029420612,0.17603523527158962,0.4589708789459948,4.832516976354583e-05,7.604275336513898e-08,0.0,0.0
1980,0.021643377109477835,0.009079108262509848,0.00018917175175556247,0.0774526044871468,0.0002268453003747637,0.25892250205197687,0.18285923729058526,0.44947166102382335,0.00015535233988534452,1.4038246436694238e-07,0.0,0.0
1981,0.02216432936934574,0.010731745299435767,0.000216147256470176,0.07928865153609342,0.00023076758577236323,0.2640137011611365,0.18606865660430308,0.4370911362013704,0.00019472378886231783,1.4119721011769916e-07,0.0,0.0
1982,0.023176748850546366,0.01180985263860188,0.0002464175386939237,0.08098994384825875,0.0003518686324128039,0.2688746669179837,0.1869990163265371,0.42736525186535146,0.0001859886258384061,2.4475577579510427e-07,0.0,0.0
1983,0.024032147835694753,0.013132782383005224,0.00027719677487400985,0.08163462240399723,0.00036104079499489085,0.27347411568762947,0.18765476718946875,0.41920722997968274,0.00022563774104948506,4.20942136617842e-07,2.5511644643505574e-08,1.2755822321752787e-08
1984,0.023780186407570795,0.015219047859862703,0.00030184970889910953,0.07966565415919605,0.00038267065011607045,0.27585070031895786,0.1952209660428065,0.4093336253484013,0.00024467592355410057,5.50218207982336e-07,3.668121386548907e-08,3.668121386548907e-08
1985,0.023597382354266283,0.01765405827125795,0.0003340781196247928,0.07903414637191329,0.00037888156449388585,0.2804675635567421,0.19758222694873484,0.40068951322302027,0.0002612442291888356,7.743217007421028e-07,7.147584929927103e-08,5.9563207749392526e-08
1986,0.023406649891835968,0.018627230157678854,0.00037169246035861827,0.07883183029608908,0.00040147779107507363,0.2787943122128466,0.19579194060984725,0.40347924163117965,0.00029381659567693407,1.6333514689791443e-06,1.0500116586294497e-07,7.000077724196332e-08
1987,0.023108811355807744,0.019650648893663702,0.0004095974179789998,0.07788998751153407,0.000433590193346912,0.27971352445133163,0.19926471876415658,0.39924382241489276,0.00028294498913828954,2.2295173337163727e-06,7.9221428101597e-08,4.5269387486626855e-08
1988,0.022943664346958756,0.020736317080072796,0.0004503370907025671,0.07677119773871743,0.0004439076155172963,0.2787979041356706,0.201781783918899,0.3977899538869715,0.00028115536376612416,3.6692916304356067e-06,7.667176541208731e-08,3.2859328033751704e-08
1989,0.022451761969313592,0.02091831083034171,0.0005018772500032209,0.07666609906803544,0.0008772831952226212,0.2741126917779651,0.20693179013555846,0.39723066955144454,0.00027817239917107465,2.8517828623301608e-05,2.1168094343596145e-06,7.091848866382466e-07
1990,0.023052666828145624,0.0213235924854034,0.0007962591548743812,0.07729443128160815,0.001009213299128477,0.26900966632054657,0.20897063342436542,0.3982069659337798,0.0002937078210995631,3.875281946995323e-05,3.2906351239943798e-06,8.19996454846496e-07
1991,0.02348804456960429,0.022257288781972223,0.0008838348281745592,0.07831896430798664,0.0011008952785599739,0.26153342885380143,0.21315256617432654,0.39893455152412083,0.00028160857492909454,4.3456671909525555e-05,4.330806580138355e-06,1.0296280349838738e-06
1992,0.023459939632998347,0.022402746130015052,0.0008554049598057592,0.07943560038026243,0.0012113565163546379,0.2577520061088697,0.21300096422092335,0.4015571661877179,0.0002703019054821871,4.960727748616474e-05,3.995288103457403e-06,9.113919811600441e-07
1993,0.024697357859483234,0.022998592119524864,0.000862696707479573,0.08003206426381135,0.0012375769328952513,0.2569510378262529,0.21504863683656153,0.39782269119180697,0.0002838813029110674,5.9659873728031615e-05,4.76395607241289e-06,1.0411294727789758e-06
1994,0.024528139166366335,0.023136937924508973,0.0009610100217197903,0.08021051730439689,0.0012883508794022788,0.2554559536155875,0.21321774442756847,0.400846522258124,0.0002745861625795419,7.408923807232078e-05,5.089545304281114e-06,1.0594563694625992e-06
1995,0.02528439348808717,0.02362232814730813,0.0009608591331602896,0.07960707449586454,0.0013460849985799232,0.2554608322602463,0.21483535888431143,0.3985495964631505,0.00024307587455479795,8.396261079182077e-05,5.3766155560916596e-06,1.0570283890993053e-06
1996,0.025050938813921408,0.023894690951216036,0.0009701208840940187,0.0787982595916821,0.0013375420497522296,0.25545968501154653,0.21688289389861157,0.3972419407395358,0.0002659027720138221,9.113831155719134e-05,5.805304035382941e-06,1.0816720339431462e-06
1997,0.025203705969425783,0.023467229526984348,0.001078070471999018,0.07896009283607593,0.0014200451297819781,0.25190807708638097,0.21437585547636168,0.40319709064537346,0.0002648147182108801,0.00011783499356244897,6.103711358747774e-06,1.079434484666005e-06
1998,0.025465129778313198,0.02374681908956034,0.001009139151360958,0.07961911566062155,0.0014658549597147763,0.24841186591743628,0.2156640159547723,0.40416930465565193,0.0002852275986810568,0.00015583976401909523,6.583678133939462e-06,1.103791734621898e-06
1999,0.025211719671324056,0.024202833947541778,0.0009738660902529602,0.07915728838259714,0.0015091045581351714,0.2458758580073917,0.21695397501512165,0.40558068162053607,0.00032273296442022494,0.0002035779900951205,7.2206418531147315e-06,1.1411107311031248e-06
2000,0.024883390346921275,0.024137561895447388,0.0016651077711083012,0.07812946067342028,0.0015403356829973537,0.25046129640209136,0.21964488063506069,0.39893756693157006,0.00031529978636950977,0.0002755566656377885,8.30941541168868e-06,1.23379396439022e-06
2001,0.02406511321941206,0.02462862254287557,0.0015629754320045672,0.07850286880045709,0.0016097629386309035,0.24930913061252852,0.22059530200932026,0.3991010398374934,0.0002567840099002512,0.00035679647945718185,1.0184909253710794e-05,1.4192086665006841e-06
2002,0.024088880936274797,0.024557296500625984,0.0018212691832630635,0.07798668125456364,0.0017162918858210736,0.24981133350486395,0.22390592570492787,0.3953587928417262,0.00025653127319930693,0.0004825970114520829,1.2743277240855468e-05,1.656626041311211e-06
2003,0.02321344716434384,0.02325406369585089,0.0020245819375505087,0.07628119716602155,0.001745173974597711,0.26079501961462725,0.2221351618078445,0.38969614709453676,0.000280041221997516,0.0005575845888741998,1.5681956621280496e-05,1.8997771341540027e-06
2004,0.02365269134316076,0.023267765576887832,0.0024344864967318094,0.0739865517013396,0.0017834905074216446,0.26787026550430443,0.21963102867100276,0.38632658963179,0.0003042307491502055,0.0007209962830147438,1.9695483552564628e-05,2.2080516434625297e-06
2005,0.023981410454988115,0.0227010312133921,0.002739523030996572,0.07286311279203302,0.001861099577363414,0.2730013111286133,0.2197417182327481,0.3818866241798906,0.00033875147923952874,0.0008552999260514506,2.7297242311880115e-05,2.8207423716691975e-06
2006,0.024291891206135893,0.02239322002775384,0.003547347711967988,0.07177946896872435,0.0019251758462203801,0.2793391030347932,0.21943486653060137,0.37585152929459337,0.0003351112610248963,0.0010622936789982567,3.652871565674225e-05,3.4637235296102547e-06
2007,0.02406282828467076,0.021363958047143913,0.004581829722431808,0.07077608641143163,0.001999633680657159,0.2832952027350994,0.22165977681670976,0.37053449556258233,0.000347627835004711,0.0013262106870219983,4.818272631456484e-05,4.1674909318390765e-06
2008,0.024765868398026435,0.021069798788768055,0.0061806224978381025,0.07090710090124488,0.002042656536418177,0.2854956685283233,0.2252051709739195,0.36216966537092016,0.00039082897666790494,0.0016864548577677383,7.991447773179575e-05,6.249692373901393e-06
2009,0.025246366888170065,0.0210114145160731,0.007298762277443696,0.07218730827911657,0.0022127808484347943,0.28683284984547974,0.22034169272678936,0.36220547392537145,0.00036461059845915844,0.0021509168259742674,0.00013815265992029823,9.670608767609287e-06
2010,0.025478268984976966,0.020352588676133685,0.007751029118465063,0.06938440870356999,0.00222487274511582,0.2915825085198794,0.2255379351676511,0.3544517716252405,0.0004884051758151994,0.0025241597294525095,0.00021098279903307397,1.3068754666821404e-05
2011,0.025279412162563696,0.019081289238663795,0.007840437290000094,0.06861352243343159,0.002304642353668195,0.2979035106833415,0.2245554299121602,0.3502162808367269,0.0006464720217241968,0.0031334076690146045,0.0004037808672744681,2.1814531430621265e-05
2012,0.026033851283026092,0.01748562500574152,0.007978045848758879,0.068247957256254,0.002401473785819122,0.2994882099254415,0.22598703582919177,0.34725898167731467,0.0007642896664690406,0.003689559482479007,0.0006356019336725716,2.9368305831756916e-05
2013,0.026147636331949206,0.017207854291498723,0.00807869346669604,0.06754570584920075,0.0026288266948644155,0.29888469502085757,0.2262696982592818,0.34214481180047746,0.0015513269533313347,0.007959439865232436,0.0015226698614380866,5.864160517214256e-05
2014,0.02635308564761041,0.017377096481710222,0.00827001502538791,0.06756884776174564,0.0027773909719828334,0.30088809744366,0.22611458260764508,0.3395322392395802,0.0008793324289052544,0.007987453050278471,0.001982816194727583,0.0002690431467663906
2015,0.026663305026971913,0.01761616116023336,0.008498752288645408,0.06783971814370272,0.002897873009932487,0.30390306452036375,0.22826558069789832,0.3373235898740639,0.0005213352398648264,0.004732204477722813,0.0014488482408766656,0.00028956731972383905
2016,0.026770183588489028,0.017721491771443488,0.008666792641839522,0.06757347607207466,0.0030271235982014745,0.3043911829215235,0.22852059806796937,0.33150687394767087,0.0008342270660189802,0.007568511409555618,0.002750860806748227,0.0006686781084653195
2017,0.0266726351141531,0.017691575930141302,0.008770805173632731,0.06677988271261555,0.0031195287573411723,0.3023945206800197,0.22691486808971212,0.3231071767266916,0.0016452062344003203,0.014923063574398631,0.006264809444711663,0.0017159275621821297
2018,0.026456677614373623,0.017582773606484976,0.00883638924170229,0.06568534396901998,0.003178026615822486,0.2988922714717216,0.22418621800194827,0.313304493400521,0.002674289643385346,0.024262433082430944,0.011521986798316926,0.003419096554272546
2019,0.026205614503701333,0.01745010543923459,0.00888996630727396,0.06450306014163236,0.0032359974711021837,0.29482625611472557,0.22104297254717936,0.30315734447112563,0.0037043419099951824,0.033631435819909565,0.01777060570707218,0.005582299567048298
2020,0.025995431888933815,0.017344121192914428,0.008957130729795208,0.0634214079446091,0.0033052410368443284,0.29104409233344203,0.2181215134413445,0.29355208291284257,0.004578980061659257,0.04162711995117387,0.024143726197713294,0.007909152308727671
2021,0.02566751887352935,0.017158949694029972,0.00898301335945559,0.06205471599838407,0.0033422137006855032,0.24777762063126246,0.18585320923120272,0.23581122744818256,0.011998344664559709,0.10929482082072724,0.06879698066031059,0.023261384917670085
2022,0.025240489302052853,0.016906589766879213,0.008972265349337523,0.06045605783574333,0.0033041792907141663,0.16732280727492183,0.12582117576854437,0.1378955849439663,0.02460255166042493,0.2247054877183779,0.1520799438688341,0.05269286722020362
2023,0.024971504786264392,0.016759248157931075,0.009016022974686061,0.05924345547348369,0.0033054059571686694,0.09665029948506697,0.0729178159686522,0.0666716099813948,0.03402554344112216,0.3117830464933574,0.2251343169191345,0.07952173036173825
2024,0.02490910584516665,0.016750181010839315,0.009134709021066629,0.05852137647762603,0.0033278033345274893,0.051009877760778734,0.038617353799993946,0.0293916882444138,0.038876119705888744,0.35758369369244625,0.27369989582432774,0.09817819528292461
2025,0.025004031690910315,0.01684701927520119,0.009313498746786846,0.05816186880063898,0.003392153489234243,0.025668787289844258,0.019497776269410863,0.012449952255306323,0.040673893219219666,0.37572145957644243,0.30315670928065763,0.11011285010634729
